,X,idx,beta,pval,cilb,ciub,i2,tau2,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random
53,ADAM12,7892,1.89242521333621,7.72772939893256e-12,1.35043920998874,2.43441121668367,96.416872205139,1.54105409073929,1.09631343413465,1.06987848362625,1.123401549109,1.53804101209104e-13,1.09651602847185,1.05271647660689,1.14213791406693,9.42049667410656e-06
56,ADAM8,1389,1.0241982212315,1.22158199398967e-08,0.671819412806877,1.37657702965612,95.9183949073391,0.658305265168035,1.06845496999887,1.03341019202612,1.10468817873477,9.96635966404411e-05,1.08032192792834,1.00687545005678,1.15912595534729,0.0314995052188502
180,ASNS,11289,0.953828071990545,7.23439411032922e-09,0.630691964025895,1.2769641799552,98.5744980402864,0.583191687389839,1.12156756957063,1.07517944480446,1.16995708873633,1.01814451186868e-07,1.12996823091643,1.03179318659704,1.23748462333961,0.00841685042730502
182,ATAD2,18452,1.2895917390454,1.18302941671128e-14,0.962097492830629,1.61708598526017,98.1935103076983,0.592611577455729,1.14421867890864,1.0902844741556,1.20082090151509,4.53189336611943e-08,1.1908675305966,1.05904318389213,1.33910070618394,0.00351881744213251
187,ATIC,15217,0.51725099181114,2.17277535374833e-06,0.303219379683596,0.731282603938683,98.7166976492282,0.261088650633174,1.20274069594391,1.1153094571302,1.29702583657977,1.6341062187784e-06,1.17807246993627,1.04547995021873,1.32748097572927,0.00714473643861565
208,AURKA,15184,1.96705226751278,2.70879158156758e-18,1.52507784368337,2.40902669134219,98.5250197485053,1.07837531156325,1.20435004303966,1.15238823665492,1.25865483526621,1.4183023059481e-16,1.25609458021271,1.13181675058685,1.39401859322338,1.79137426910491e-05
209,AURKB,29307,2.72033229287741,1.05663563261114e-14,2.03078468803692,3.40987989771789,98.0603281391463,2.58903200487764,1.14889716111418,1.10888923446223,1.19034854500715,1.64774044317716e-14,1.14804203421655,1.04886589014421,1.25659583814559,0.002744949531515
247,BIRC5,27230,2.8758468966213,2.63397348891152e-19,2.24838012314884,3.50331367009376,97.479743351399,2.11241750247446,1.16053441285662,1.11908083259748,1.20352353841888,1.03643870979e-15,1.1527981563005,1.04895544959189,1.26692090659034,0.00315390842016515
248,BIRC7,6672,2.00216051835464,5.07673567660668e-06,1.14189879764148,2.8624222390678,93.1002098369393,3.68161816620177,1.0153646320913,1.0011505876086,1.02978048343809,0.0340201188056086,1.01566634963123,1.00072455263148,1.03083124228402,0.0398067774163587
250,BLM,10902,1.76733860648384,2.93716072736942e-15,1.32850928596651,2.20616792700117,97.9583144584075,1.06524751488504,1.12761061320116,1.07712163779778,1.18046620770106,2.76742709081194e-07,1.13956444050773,1.01736720260206,1.27643894038291,0.0239779655011477
