,X,idx,beta,pval,cilb,ciub,i2,tau2,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random
7,ABCB1,13963,-1.82718561618186,3.29217164202403e-10,-2.3970480559149,-1.25732317644883,98.333641324008,1.79166713606378,0.91860371578148,0.894078186422836,0.943802006873332,7.79704586578528e-10,0.918722443509431,0.89011336045246,0.94825104948306,1.50448428244091e-07
26,ACADM,7743,-0.973414558399934,7.3386536992617e-10,-1.28320162075232,-0.663627496047544,98.6103065154978,0.536740627362578,0.881497344833453,0.83219831764791,0.93371682262542,1.74225490138042e-05,0.888723105253365,0.795056963605495,0.993424111688045,0.037887382901667
27,ACADSB,18891,-1.29023791748614,1.93647463946371e-09,-1.71149390175626,-0.868981933216015,98.943441701964,1.00596300276916,0.863819290846128,0.825685011847206,0.903714802293141,2.08646020972921e-10,0.871098469432983,0.793281374723027,0.956549047572716,0.00384746059788406
48,ACVR2A,13237,-0.378156737485903,9.06410950485189e-06,-0.545148887222077,-0.211164587749729,97.504797564858,0.15063123266006,0.89559268591177,0.839529443492743,0.955399796011552,0.000827905784415317,0.901325063389344,0.816333243097829,0.99516573257626,0.0397959083691978
53,ADAM12,7892,1.89242521333621,7.72772939893256e-12,1.35043920998874,2.43441121668367,96.416872205139,1.54105409073929,1.09631343413465,1.06987848362625,1.123401549109,1.53804101209104e-13,1.09651602847185,1.05271647660689,1.14213791406693,9.42049667410656e-06
56,ADAM8,1389,1.0241982212315,1.22158199398967e-08,0.671819412806877,1.37657702965612,95.9183949073391,0.658305265168035,1.06845496999887,1.03341019202612,1.10468817873477,9.96635966404411e-05,1.08032192792834,1.00687545005678,1.15912595534729,0.0314995052188502
69,ADH1A,3390,-4.11028383712549,5.73327431631169e-16,-5.10548493465499,-3.11508273959598,97.5937684677529,5.40992290816419,0.980937321817272,0.971376236738229,0.990592514971468,0.000117465890906156,0.979959926678936,0.964845738257508,0.995310876981129,0.0106911932027523
71,ADH1C,28675,-3.76839880181031,4.56724275750005e-15,-4.71068674940045,-2.82611085422017,98.3696335239636,4.7890171086243,0.983066810798263,0.972607279311862,0.993638825299382,0.00175253519217504,0.982738807455655,0.970573879383335,0.995056207666519,0.00614741006740628
115,ALDH2,5939,-1.39173508175916,1.68064707092193e-09,-1.84439846680001,-0.93907169671831,99.096924973927,1.16384883795679,0.896334358530685,0.862600896745922,0.931387024188614,2.24973540089432e-08,0.887278457086218,0.820614809178085,0.959357607983959,0.00268965077023058
161,AQP7,20967,-2.34336033847357,4.37279405961987e-12,-3.00663575697919,-1.68008491996794,98.1750272087239,2.32904185995695,0.968439610830075,0.952522265991432,0.984622946161285,0.000149043035327069,0.962590706833895,0.938387373830852,0.987418303701513,0.00334123296572026
180,ASNS,11289,0.953828071990545,7.23439411032922e-09,0.630691964025895,1.2769641799552,98.5744980402864,0.583191687389839,1.12156756957063,1.07517944480446,1.16995708873633,1.01814451186868e-07,1.12996823091643,1.03179318659704,1.23748462333961,0.00841685042730502
182,ATAD2,18452,1.2895917390454,1.18302941671128e-14,0.962097492830629,1.61708598526017,98.1935103076983,0.592611577455729,1.14421867890864,1.0902844741556,1.20082090151509,4.53189336611943e-08,1.1908675305966,1.05904318389213,1.33910070618394,0.00351881744213251
187,ATIC,15217,0.51725099181114,2.17277535374833e-06,0.303219379683596,0.731282603938683,98.7166976492282,0.261088650633174,1.20274069594391,1.1153094571302,1.29702583657977,1.6341062187784e-06,1.17807246993627,1.04547995021873,1.32748097572927,0.00714473643861565
208,AURKA,15184,1.96705226751278,2.70879158156758e-18,1.52507784368337,2.40902669134219,98.5250197485053,1.07837531156325,1.20435004303966,1.15238823665492,1.25865483526621,1.4183023059481e-16,1.25609458021271,1.13181675058685,1.39401859322338,1.79137426910491e-05
209,AURKB,29307,2.72033229287741,1.05663563261114e-14,2.03078468803692,3.40987989771789,98.0603281391463,2.58903200487764,1.14889716111418,1.10888923446223,1.19034854500715,1.64774044317716e-14,1.14804203421655,1.04886589014421,1.25659583814559,0.002744949531515
224,BAZ2B,3470,-0.334453112392431,9.59024087141252e-07,-0.468235578200501,-0.200670646584361,92.931692511887,0.0908759681149075,0.905927893032502,0.850468375304974,0.965003956884354,0.00217530924588932,0.905927893032502,0.850468375304974,0.965003956884354,0.00217530924588932
247,BIRC5,27230,2.8758468966213,2.63397348891152e-19,2.24838012314884,3.50331367009376,97.479743351399,2.11241750247446,1.16053441285662,1.11908083259748,1.20352353841888,1.03643870979e-15,1.1527981563005,1.04895544959189,1.26692090659034,0.00315390842016515
248,BIRC7,6672,2.00216051835464,5.07673567660668e-06,1.14189879764148,2.8624222390678,93.1002098369393,3.68161816620177,1.0153646320913,1.0011505876086,1.02978048343809,0.0340201188056086,1.01566634963123,1.00072455263148,1.03083124228402,0.0398067774163587
250,BLM,10902,1.76733860648384,2.93716072736942e-15,1.32850928596651,2.20616792700117,97.9583144584075,1.06524751488504,1.12761061320116,1.07712163779778,1.18046620770106,2.76742709081194e-07,1.13956444050773,1.01736720260206,1.27643894038291,0.0239779655011477
276,BUB1,20969,2.65715167772868,2.22421207266902e-22,2.12196230164265,3.19234105381471,97.7219939965908,1.57491428867587,1.19925809895159,1.15038236385207,1.25021039359911,1.13794295803011e-17,1.2054270053565,1.08284970245175,1.34187991366925,0.000638454748538862
295,CA4,1332,-3.77155458332379,7.77897831971064e-10,-4.97364640608641,-2.56946276056116,98.8761164729139,8.21979660805302,0.984898575819263,0.97396107862337,0.99595890014607,0.00757046284979505,0.97465391961763,0.954969792429705,0.994743782009142,0.013654452887759
328,CALR,10525,0.516196233951046,6.76107921109958e-07,0.312551930102057,0.719840537800035,97.5583489870282,0.230967019823496,1.13151931640707,1.04682687466555,1.22306371224124,0.00185265425344822,1.14013732640585,1.01551949104009,1.28004743831409,0.0263688036038541
354,CASR,11313,-2.81727807359641,4.39657748208188e-06,-4.0198322379462,-1.61472390924663,97.0450883119149,7.53270130400852,0.980177012388414,0.9697534841494,0.990712579349357,0.000242054751048819,0.980156349268172,0.967154731038147,0.993332750365069,0.00326288833470147
383,CCNA2,12183,2.19141974880241,3.99598392486834e-20,1.72395931137935,2.65888018622547,97.2273752992072,1.17755175199962,1.191417288266,1.14236467380388,1.2425761994657,3.21919977687966e-16,1.21603494027811,1.08856973485816,1.35842558232603,0.000535998016408877
387,CCNE1,10963,1.73430153462199,4.29897224180438e-11,1.21875962257278,2.2498434466712,98.9171009155776,1.49694056780226,1.10577370344711,1.06911252460338,1.14369203904775,5.07214921122132e-09,1.10470201265176,1.01876487735363,1.1978883095449,0.0159570211651247
412,CD276,10340,0.871069412638367,2.32037924298739e-09,0.58526899954642,1.15686982573031,98.2458660162723,0.429256689523141,1.22194154221694,1.14821650754189,1.3004003363373,2.7390623163332e-10,1.22683065956465,1.13629796672954,1.32457639749176,1.72413200687059e-07
447,CDC25B,2254,0.985934477518978,4.23287869967705e-10,0.67651292819143,1.29535602684652,97.7783129777944,0.534324182119622,1.14168256837078,1.0894470983813,1.19642256045139,2.93470691760747e-08,1.15248995317709,1.04005538039966,1.27707919905548,0.00673153437057248
448,CDC25C,10489,2.87765095559262,1.03909522423064e-21,2.28848053141085,3.46682137977439,97.2203900177758,1.82486712148674,1.1583232911853,1.11403403279198,1.20437330225877,1.48036737344529e-13,1.13733782495157,1.02950330433013,1.25646738832689,0.0113394158063282
457,CDK1,18507,2.11587499921516,1.05491067993198e-12,1.53368296366461,2.69806703476571,98.6394271050317,1.91752092457732,1.17851399887152,1.12928634180186,1.22988757954873,4.52357396008949e-14,1.22437270381559,1.09312494904641,1.37137892530623,0.000466885781290066
464,CDK16,29228,0.500560113383205,6.94957580381379e-06,0.282310893193016,0.718809333573394,98.7013391777522,0.276550610197819,1.17346643021935,1.08867839545182,1.26485789430979,2.90999553680936e-05,1.16386783269647,1.02927685412663,1.31605828553776,0.0155126072788329
471,CDK4,5147,0.658292207909198,6.78555972491194e-06,0.371594166007672,0.944990249810724,99.1088506573275,0.474956491490571,1.09652347008022,1.04432490098794,1.15133108412844,0.000213237310847835,1.12922459397498,1.04379950613779,1.22164091488814,0.00246148329588916
474,CDK7,13259,0.439011396243449,9.43612751861079e-12,0.312750898485678,0.565271894001221,95.8588131447997,0.0819824633769428,1.11403623754174,1.02820720793579,1.20702979805763,0.00829083106802286,1.1279196869644,1.01202854527621,1.25708195305366,0.0295465560812014
486,CDKN3,16616,2.19717084831839,1.58687978641578e-24,1.77586960703447,2.61847208960232,96.584513986574,0.9422372359103,1.18005920512251,1.13371537233756,1.22829747357411,5.51989951596996e-16,1.20956253997144,1.09240609842207,1.33928356882614,0.000251887745852746
498,CENPE,997,1.93892461404678,2.54849821213949e-18,1.50361457317993,2.37423465491363,97.6550791387079,1.03801604141552,1.18343328933347,1.1359142734547,1.23294018134237,7.96807115579644e-16,1.21684608588592,1.09671891672103,1.350131172318,0.000214854681529795
521,CHRNA2,28144,-2.35753214803009,5.24965185613829e-06,-3.37205010142319,-1.34301419463699,94.5124129847771,5.10300492311388,0.988638645783687,0.977971788091893,0.999421848194625,0.0389749567522578,0.988404409117367,0.976955428982242,0.999987560313162,0.0497558887301254
524,CHRNA5,1203,1.50012172405388,6.88046029260265e-12,1.07153064689385,1.9287128012139,96.4355136765716,0.933469442679362,1.10143980188228,1.06801336340694,1.13591241339947,8.00982795923818e-10,1.10616817921777,1.03869504987124,1.17802433049588,0.00167645044001047
555,CMA1,16504,-3.80683238366642,1.07883723898138e-09,-5.03053308250161,-2.58313168483123,97.3434939186199,8.01248960145281,0.979914177318454,0.971347036934938,0.988556878641118,5.93200661532624e-06,0.981056217028528,0.964500565517572,0.997896046285719,0.027629124142175
564,COL11A1,12612,2.54879460132495,9.56347057421887e-06,1.42032059158232,3.67726861106759,98.2028485170482,6.9472849765158,1.05203645953888,1.03734290990978,1.06693813745289,1.56249873983128e-12,1.05413850615762,1.03472537629913,1.07391585788553,2.70715995546651e-08
568,COL1A1,25973,1.67475201231137,2.35210705080219e-09,1.12505718182647,2.22444684279626,96.2362828084045,1.51751330107799,1.08854583526155,1.06181142350522,1.1159533691525,2.27339265324434e-11,1.09468984904974,1.05077749853635,1.14043731168754,1.48337854460837e-05
