,idx,beta,pval,cilb,ciub,i2,tau2
PSMB4,13995,0.466089655732452,2.27265966169207e-12,0.335896451854136,0.596282859610769,95.3700493052628,0.0892921126162127
SMPD4,25210,0.454272109587331,2.57965042151649e-12,0.327058412144858,0.581485807029805,97.305011822219,0.0888697206992357
HDAC10,21341,0.586094336121798,2.60729813339686e-12,0.421930292982807,0.750258379260788,92.3950197779954,0.133634775167444
MAOB,18080,-2.39932565151372,2.76008158464443e-12,-3.0721405803896,-1.72651072263784,99.0783926616911,2.5830666977485
DRD1,8357,-2.83985743574357,2.93594321005493e-12,-3.63719481800189,-2.04252005348526,97.5990992900461,3.56522320930352
TEK,26691,-1.87236515462479,2.95174998750588e-12,-2.39811973938408,-1.3466105698655,98.6433060476405,1.52955529764685
ALAD,6959,-0.884378964009382,3.27715681110433e-12,-1.13323430340964,-0.635523624609124,98.2788350108608,0.33068507229841
SEM1,25881,0.712000002113489,3.31883136475885e-12,0.511599179512227,0.912400824714752,97.0507312237509,0.21407270858028
LEPR,17359,-1.76699531092195,3.67072058200884e-12,-2.26535359372306,-1.26863702812084,98.1327442630753,1.36835584200745
AQP7,20967,-2.34336033847357,4.37279405961987e-12,-3.00663575697919,-1.68008491996794,98.1750272087239,2.32904185995695
MMP9,29359,2.21757723989064,4.37634254056287e-12,1.58989363470814,2.84526084507314,95.0034762304763,2.1281294818003
FEN1,5388,1.11552191655006,4.39432071366042e-12,0.79974779029221,1.43129604280791,98.7681820185744,0.55026692258245
TYK2,809,0.438181400491423,4.41266664961074e-12,0.314133511828258,0.562229289154587,95.4081886832638,0.0804574832666645
GPR19,3979,1.77058986753648,4.76064423534461e-12,1.26856105121344,2.27261868385952,96.8463191996531,1.35269049242795
IL6ST,27377,-0.893306700009928,4.99029894542375e-12,-1.14683790058203,-0.639775499437832,97.753365409643,0.35591431743339
EPHX2,3967,-1.36511245300081,5.23717206260964e-12,-1.75293288903541,-0.977292016966216,98.6328527595275,0.839212314057629
AOC3,30380,-2.17375577709849,5.39449526201165e-12,-2.79168378966443,-1.55582776453256,98.6250141351368,2.04824607325379
CHRNA5,1203,1.50012172405388,6.88046029260265e-12,1.07153064689385,1.9287128012139,96.4355136765716,0.933469442679362
LAMA2,17662,-1.52840374978156,7.25317308106346e-12,-1.96555559147668,-1.09125190808644,96.7490786676093,0.976515959351373
CPA1,13745,-3.19023040840401,7.4220828254343e-12,-4.10313418670954,-2.27732663009849,95.1322690217228,4.27058269933857
ADAM12,7892,1.89242521333621,7.72772939893256e-12,1.35043920998874,2.43441121668367,96.416872205139,1.54105409073929
TERT,17468,4.6313311484163,8.49951018685526e-12,3.30227948691458,5.96038280991801,98.5269424869651,9.93475299391554
NR3C2,21055,-1.93967649182341,8.76398787752138e-12,-2.49666346226996,-1.38268952137686,99.2839938387355,1.79918496466432
GFRA1,3971,-2.70735725697647,9.30763402323346e-12,-3.48577314674926,-1.92894136720368,98.3516523759486,3.38845310568285
CDK7,13259,0.439011396243449,9.43612751861079e-12,0.312750898485678,0.565271894001221,95.8588131447997,0.0819824633769428
DUSP1,13731,-1.56883740543444,9.52529076136224e-12,-2.02012751862685,-1.11754729224203,97.5042440326207,1.10149441694058
LRP1B,29070,-2.61850626872932,1.0273951274745e-11,-3.37294859657538,-1.86406394088327,97.103049564249,2.99805180618957
MAZ,17071,0.523267896863714,1.14695210646055e-11,0.372151727457651,0.674384066269777,95.7416788496002,0.11764598349368
DTYMK,12451,0.885015253178676,1.46730262447407e-11,0.628079570117405,1.14195093623995,97.9861004884931,0.369212021179163
KCNK3,13723,-2.49365125571734,1.49969690764826e-11,-3.21794254960972,-1.76935996182496,98.3217687544341,2.87088359299151
MC1R,16409,0.921597394575495,1.54958713452579e-11,0.653727024486432,1.18946776466456,95.4980808363157,0.394389760240942
CDC7,10882,1.15579786054523,1.60226043334156e-11,0.819612956136074,1.49198276495439,97.2992173843714,0.611421631369245
MLST8,17725,0.375104552418684,1.68781304047865e-11,0.265875934136706,0.484333170700663,92.8888604760807,0.0624321269735441
PYGM,11511,-2.19246615573877,1.69481743138895e-11,-2.83095877846629,-1.55397353301124,98.3706763634129,2.18710817858592
DCN,23122,-2.62599108993777,1.93507892932496e-11,-3.39293656343507,-1.85904561644047,98.827542418573,3.28841360881309
HBB,26327,-2.25906626108406,1.9430634840439e-11,-2.91890695130951,-1.59922557085861,96.6961002690665,2.36583875804255
CTSF,30257,-0.959306911254995,2.53907493897754e-11,-1.24115088519139,-0.677462937318596,97.31957932434,0.410207394363973
SIRT1,1601,-0.468435023898024,2.60255663645532e-11,-0.606135855918509,-0.330734191877539,95.2711834590132,0.0976748254128699
ILF3,1507,0.463893813863231,2.65204466510662e-11,0.327471317361008,0.600316310365453,98.1359757280477,0.101474163784304
IL5RA,20279,-2.1500360264885,3.05295708387075e-11,-2.78429207666906,-1.51577997630793,96.1883849151463,2.09795978877951
GAPDH,10538,0.839693245687194,3.15766797359604e-11,0.59180010689488,1.08758638447951,97.8806756844196,0.332483668483594
GPR17,4599,-1.999809008223,3.19312486639887e-11,-2.59033643506445,-1.40928158138154,96.7828861963946,1.86918347399865
C6,21342,-3.47682630264218,3.33377169586142e-11,-4.50448951211736,-2.44916309316701,98.3088134004047,5.76198298266468
CHRNA4,17612,-3.79415205613122,3.56827984885926e-11,-4.91730945171306,-2.67099466054938,96.5635246425749,6.52178463771042
PTEN,20809,-0.466678317294879,3.64959577315363e-11,-0.604895511621617,-0.328461122968142,96.5062451008222,0.105877250289566
TUBB,25179,0.583734449646835,3.68711871094359e-11,0.410808940832774,0.756659958460895,96.6325766187351,0.156227690259417
CCNE1,10963,1.73430153462199,4.29897224180438e-11,1.21875962257278,2.2498434466712,98.9171009155776,1.49694056780226
THRB,22509,-1.63748164270963,4.44992899266288e-11,-2.12462120978395,-1.1503420756353,99.0632071933055,1.34923085711828
RTN4,23716,-0.446195456975905,4.66163439628524e-11,-0.579074829630398,-0.313316084321413,95.2999490461179,0.0883154869926207
NR4A1,24475,-1.7576862581311,5.38704752271373e-11,-2.28285286783676,-1.23251964842545,95.0522646685059,1.46302077519152
ATF3,27228,-1.34159264234805,5.95469932603827e-11,-1.74335357745303,-0.939831707243069,92.5660441374307,0.832562059224573
F8,29192,-1.16915451321163,6.17199061551716e-11,-1.51956303789785,-0.818745988525407,97.7749953832918,0.672254275238124
ITPR1,2000,-1.3657671937563,6.29115989119455e-11,-1.77528186598178,-0.95625252153081,98.2154983127466,0.926025016721063
KIF11,12595,1.72069029820716,7.40763790345434e-11,1.20281457444007,2.23856602197425,98.7671690467599,1.51011101571069
BRCA1,14618,1.04460873691372,7.4982066498184e-11,0.730124971132387,1.35909250269505,97.9721318470315,0.537054579472757
CASP2,21906,0.73039435601323,1.02633358789459e-10,0.508896277098086,0.951892434928373,98.360075532512,0.278246701942125
PTGIS,8677,-2.47908075257975,1.16843722645478e-10,-3.23317425791591,-1.72498724724358,98.167622589155,3.03495453475545
SCN2B,1103,-3.22277524543536,1.32528999971183e-10,-4.20600786416573,-2.23954262670499,98.8888011490229,5.55333700940322
MDK,19940,1.5620151710024,1.33093627704914e-10,1.08541385805048,2.03861648395432,97.4926721815411,1.24475605466819
CDKN1C,7869,-1.22490575053713,1.45873741111941e-10,-1.59946268446021,-0.850348816614051,97.4359193050575,0.735669478704448
NTF3,8172,-1.96412509879257,1.59577562142716e-10,-2.56601052065387,-1.36223967693127,98.1989477717013,1.97889163730669
TACR1,17218,-2.16390108175871,1.60700216004402e-10,-2.82711681723247,-1.50068534628495,97.9674662003363,2.44482471442093
EED,10904,0.353892830750599,1.69458719067666e-10,0.245290141936818,0.462495519564381,95.9667274473819,0.0624105631758562
WDR5,24066,0.41212705737588,1.72255644771285e-10,0.285603816092147,0.538650298659613,97.4524579417539,0.0878385574172225
FNTA,4077,0.271772549408892,1.74303737026554e-10,0.188314571163874,0.35523052765391,91.7495934032078,0.0332263778013731
KCNJ14,3910,0.892544934524345,1.94636104502827e-10,0.617727257363359,1.16736261168533,96.9081169386406,0.415757516697434
BHMT2,20539,-2.48280778901762,2.02865417106895e-10,-3.24803731231391,-1.71757826572134,98.6597528439401,3.23028709996985
DKC1,2672,0.703171415107996,2.14686649869656e-10,0.486148880910511,0.92019394930548,98.8946812959721,0.268695711850316
CR1,26793,-1.37832323733952,2.54658885175466e-10,-1.80549073219876,-0.951155742480272,90.5997776128552,0.818429983432484
PIK3C3,6018,-0.284382677754933,2.60794044272775e-10,-0.3725693343282,-0.196196021181666,94.9083900366075,0.0403475266324903
PGR,13710,-2.40933547985029,2.70271231888867e-10,-3.15711976161942,-1.66155119808117,98.5692396693402,3.21062615480765
NTRK3,25456,-2.34636673684945,2.92825946539863e-10,-3.07604106458173,-1.61669240911716,98.5290985894244,3.01333753080404
GRM3,19567,-1.90885668366185,3.23120745282558e-10,-2.50391576231239,-1.31379760501131,93.7098727283176,1.72736746785351
PCNA,26461,0.977384328326895,3.25437642254523e-10,0.672644799153413,1.28212385750038,98.9263716579316,0.521116215706697
ABCB1,13963,-1.82718561618186,3.29217164202403e-10,-2.3970480559149,-1.25732317644883,98.333641324008,1.79166713606378
HIST3H2A,23033,1.45483694212104,3.64219525909875e-10,0.999964932332347,1.90970895190973,97.1363372215638,1.14442439199809
HBA2,22270,-2.02184672236867,4.17129547302042e-10,-2.65614202271455,-1.38755142202278,95.6827173911211,2.15271897150268
CDC25B,2254,0.985934477518978,4.23287869967705e-10,0.67651292819143,1.29535602684652,97.7783129777944,0.534324182119622
SPP1,10767,2.20447615783911,4.24959768975644e-10,1.51256432306976,2.89638799260847,96.5027790938657,2.49267013571258
ADAM33,24585,-2.03921313866902,4.47152459998126e-10,-2.68007151469908,-1.39835476263897,98.1013427150433,2.21337985290667
NCAM1,24301,-2.3499103027014,4.48918627166945e-10,-3.08848375911396,-1.61133684628884,98.6166243174793,2.98428305376275
CRTC2,4289,0.266275492607576,4.57840032356144e-10,0.182544119661833,0.350006865553319,92.9470972660937,0.0323779097569221
MAOA,12220,-1.42979766373735,5.22200110061452e-10,-1.88089616925631,-0.978699158218382,98.5948485359677,1.12404549733863
KCNA4,30605,-3.98058144039438,5.29555058245814e-10,-5.23689187858871,-2.72427100220006,97.345508460542,8.38198703539574
PHKG2,5829,0.451676355333729,5.40260651732277e-10,0.309050628678841,0.594302081988616,95.4331620047153,0.107670464532763
IRAK1,30258,0.720333001060382,5.61517263507926e-10,0.492650975921636,0.948015026199129,98.1132809092226,0.295289558468226
EIF2AK1,7453,0.491263985538808,5.62540045836021e-10,0.335978659283905,0.646549311793712,98.5654636462624,0.134091292893313
PSMD14,12831,0.528115429917659,6.10329227102437e-10,0.360835091815205,0.695395768020114,97.4022293700586,0.152574610401214
SLC7A11,26432,1.82714539985303,6.49709274448239e-10,1.24747353607875,2.40681726362731,97.632539153017,1.84322388738775
PIK3C2G,26714,-4.07306506238501,7.13028485318507e-10,-5.3683499112189,-2.77778021355113,98.4337078131574,9.16453533303064
LHCGR,23036,-2.68364126397397,7.31542814976019e-10,-3.53763462960238,-1.82964789834556,92.3104002916755,3.61745672132786
ACADM,7743,-0.973414558399934,7.3386536992617e-10,-1.28320162075232,-0.663627496047544,98.6103065154978,0.536740627362578
CA4,1332,-3.77155458332379,7.77897831971064e-10,-4.97364640608641,-2.56946276056116,98.8761164729139,8.21979660805302
ATP1A2,2799,-3.16347220923087,7.86612562364392e-10,-4.17204235023403,-2.15490206822771,98.802761840583,5.62055045563481
MAPK10,23289,-1.42897459885003,7.99934528864553e-10,-1.88475422934979,-0.973194968350276,98.822055622668,1.15921259002368
TP73,30388,1.70525362112885,8.87306701598017e-10,1.15989105223309,2.2506161900246,96.4284633955678,1.62674008066766
XPA,3267,-0.392880821708073,9.25504635911308e-10,-0.518667022862634,-0.267094620553512,95.4310873199274,0.0816048406423884
CMA1,16504,-3.80683238366642,1.07883723898138e-09,-5.03053308250161,-2.58313168483123,97.3434939186199,8.01248960145281
RBL2,20453,-0.482945823217761,1.16217480249788e-09,-0.638491882595867,-0.327399763839656,95.8825332862791,0.120646126276186
HRAS,4095,0.55503601825548,1.19616477870169e-09,0.376135494746457,0.733936541764503,95.3399068779198,0.165209925112038
APOD,27338,-2.00898379090359,1.20013443698186e-09,-2.65658077588063,-1.36138680592655,97.8019560983848,2.28570050018731
PCSK2,29174,-4.21937063124282,1.22941465904676e-09,-5.58035234982571,-2.85838891265993,98.5658309628486,10.5962130946858
CCR9,3108,-1.93604758736527,1.39232469975763e-09,-2.56259238246954,-1.309502792261,92.4407465925138,1.92019943882045
PTGES3,24717,0.275427663411828,1.407240698083e-09,0.18626835942738,0.364586967396275,94.1836554184152,0.040760848441366
RIPK2,6819,0.641252522906081,1.49830072483779e-09,0.433324322074046,0.849180723738117,97.3146537193861,0.239141891029853
NMUR1,28471,-1.5215964425925,1.53572463069458e-09,-2.01530400985562,-1.02788887532938,97.6100171192304,1.3282947157276
MYLK,15692,-1.86551687958449,1.53697743027711e-09,-2.47082840299107,-1.26020535617791,98.9080580358727,1.99072282410236
ALDH2,5939,-1.39173508175916,1.68064707092193e-09,-1.84439846680001,-0.93907169671831,99.096924973927,1.16384883795679
KDM4E,746,-2.28963421838765,1.86099429175882e-09,-3.03638562865908,-1.54288280811623,86.7767120682744,2.52255576873464
ACADSB,18891,-1.29023791748614,1.93647463946371e-09,-1.71149390175626,-0.868981933216015,98.943441701964,1.00596300276916
POLE,5984,0.656983193884564,1.98263392888429e-09,0.442344847413147,0.871621540355981,97.4912013923821,0.245020734797205
GNG7,20786,-1.68736814709145,2.00230974934223e-09,-2.23878371800906,-1.13595257617384,99.2028875163512,1.74065431902045
